
Wavelength (nm)	Sum(calc)	C I (6.3e-3)	C II (8.4e-1)	C III (1.0e-1)	Mg I (1.7e-7)	Mg II (4.8e-5)	Mg III (9.5e-4)	Al I (1.4e-5)	Al II (4.5e-3)	Al III (4.4e-2)
  197.71	8.162e-22			8.162e-22						
  197.80	1.126e-20			1.126e-20						
  197.90	1.849e-19			1.849e-19						
  197.99	2.061e-18			2.061e-18						
  198.08	2.076e-17			2.076e-17			4.321e-24			
  198.18	2.402e-16			2.402e-16			8.139e-23			
  198.27	1.955e-15			1.955e-15			1.028e-21			
  198.36	1.439e-14			1.439e-14			1.173e-20			
  198.46	1.174e-13			1.174e-13			1.560e-19			
  198.55	6.980e-13			6.980e-13			1.439e-18			
  198.64	3.754e-12			3.754e-12			1.201e-17			
  198.74	2.164e-11			2.164e-11			1.127e-16			
  198.83	9.434e-11			9.434e-11			7.603e-16			
  198.92	3.738e-10			3.738e-10			4.637e-15			
  199.02	1.558e-9			1.558e-9			3.072e-14			
  199.11	5.245e-9			5.245e-9			1.514e-13			
  199.21	1.974e-8			1.974e-8			7.921e-13		2.303e-13	
  199.30	6.895e-8			6.895e-8			3.157e-12		3.147e-12	
  199.39	2.708e-7		3.775e-14	2.707e-7			1.138e-11		3.893e-11	
  199.49	1.391e-6		6.894e-13	1.390e-6			4.200e-11		5.667e-10	
  199.58	6.222e-6		8.483e-12	6.216e-6			1.223e-10		5.682e-9	
  199.67	2.672e-5		9.457e-11	2.667e-5			3.222e-10		5.157e-8	
  199.77	1.237e-4		1.227e-9	1.232e-4			8.397e-10		5.322e-7	
  199.86	4.480e-4		1.111e-8	4.440e-4			1.788e-9		3.915e-6	
  199.95	1.481e-3		9.108e-8	1.455e-3			3.441e-9		2.607e-5	
  200.05	5.039e-3		8.403e-7	4.847e-3			6.331e-9		1.907e-4	
  200.14	1.394e-2		5.593e-6	1.291e-2	1.145e-17		9.852e-9		1.029e-3	
  200.23	3.619e-2		3.373e-5	3.113e-2	1.582e-16		1.386e-8		5.030e-3	
  200.33	1.000e-1		2.212e-4	7.370e-2	2.607e-15		1.800e-8		2.609e-2	
  200.42	2.486e-1		1.083e-3	1.442e-1	2.925e-14		2.047e-8		1.033e-1	
  200.51	6.308e-1		4.805e-3	2.556e-1	2.974e-13		2.105e-8		3.705e-1	
  200.61	1.814e+0		2.240e-2	4.297e-1	3.485e-12		1.930e-8		1.362e+0	
  200.70	4.657e+0		8.068e-2	6.177e-1	2.877e-11		1.604e-8		3.958e+0	
  200.79	1.148e+1		2.633e-1	8.042e-1	2.151e-10		1.206e-8		1.041e+1	
  200.89	2.898e+1		8.728e-1	9.598e-1	1.792e-9		7.802e-9		2.715e+1	
  200.98	6.122e+1		2.312e+0	1.014e+0	1.088e-8		4.741e-9		5.790e+1	
  201.07	1.183e+2		5.551e+0	9.694e-1	5.987e-8		2.604e-9		1.118e+2	
  201.17	2.206e+2		1.308e+1	8.212e-1	3.546e-7		1.190e-9		2.067e+2	
  201.26	3.497e+2		2.550e+1	6.370e-1	1.584e-6		5.283e-10		3.235e+2	
  201.35	5.042e+2		4.503e+1	4.475e-1	6.411e-6		2.121e-10		4.587e+2	
  201.45	6.780e+2		7.545e+1	2.690e-1	2.699e-5		6.839e-11		6.023e+2	
  201.54	8.024e+2		1.082e+2	1.532e-1	8.871e-5		2.220e-11		6.940e+2	
  201.63	8.670e+2		1.406e+2	7.905e-2	2.641e-4		6.515e-12		7.263e+2	
  201.73	8.524e+2		1.676e+2	3.372e-2	7.906e-4		1.483e-12		6.848e+2	
  201.82	7.689e+2		1.769e+2	1.410e-2	1.911e-3		3.518e-13		5.920e+2	
  201.91	6.429e+2		1.694e+2	5.340e-3	4.186e-3		7.546e-14		4.735e+2	
  202.01	4.881e+2		1.442e+2	1.616e-3	8.910e-3		1.215e-14		3.439e+2	
  202.10	3.608e+2		1.129e+2	4.960e-4	1.584e-2		2.299e-15		2.479e+2	
  202.19	2.575e+2		8.077e+1	1.379e-4	2.553e-2		1.715e-15		1.767e+2	
  202.29	1.725e+2		5.058e+1	2.958e-5	3.863e-2		1.086e-14		1.218e+2	
  202.38	1.181e+2		3.095e+1	6.663e-6	5.053e-2		6.210e-14		8.715e+1	
  202.47	7.920e+1		1.819e+1	1.359e-6	5.990e-2		3.233e-13		6.096e+1	
  202.57	4.879e+1		9.998e+0	2.067e-7	6.444e-2		1.803e-12		3.873e+1	
  202.66	2.998e+1		5.984e+0	3.416e-8	6.201e-2		7.643e-12		2.393e+1	
  202.75	1.736e+1		3.690e+0	5.110e-9	5.407e-2		2.939e-11		1.362e+1	
  202.85	8.766e+0		2.176e+0	5.508e-10	4.136e-2		1.171e-10		6.549e+0	
  202.94	4.418e+0		1.322e+0	6.677e-11	2.928e-2		3.666e-10		3.066e+0	
  203.03	2.102e+0		7.801e-1	7.354e-12	1.878e-2		1.041e-9		1.303e+0	
  203.13	9.102e-1		4.507e-1	8.843e-13	1.021e-2		2.963e-9		4.492e-1	
  203.22	5.101e-1		3.496e-1	2.762e-12	5.318e-3		6.852e-9		1.552e-1	
  203.31	4.518e-1		4.007e-1	2.057e-11	2.509e-3		1.438e-8		4.859e-2	
  203.41	6.224e-1		6.095e-1	1.745e-10	9.702e-4		2.921e-8		1.190e-2	
  203.50	9.131e-1		9.097e-1	1.080e-9	3.717e-4		4.991e-8		3.024e-3	
  203.59	1.280e+0		1.280e+0	6.072e-9	1.290e-4		7.735e-8		6.958e-4	
  203.69	1.705e+0		1.704e+0	3.694e-8	3.546e-5		1.123e-7		1.211e-4	
  203.78	2.024e+0		2.024e+0	1.695e-7	9.995e-6		1.417e-7		2.260e-5	
  203.87	2.218e+0		2.218e+0	7.063e-7	2.552e-6		1.622e-7		3.821e-6	
  203.97	2.252e+0		2.252e+0	3.081e-6	4.988e-7		1.681e-7		4.722e-7	
